buyer_id,buyer_address,buyer_Fname,buyer_Lname,buyer_phone_number,buyer_email
101,55 Waywood Terrace,Giovanna,Yannoni,717-547-3451,gyannoni0@a8.net
102,9 Homewood Terrace,Magdalena,Vasser,612-630-9632,mvasser1@de.vu
103,36794 Acker Road,Coriss,Karchowski,677-915-8051,ckarchowski2@ed.gov
104,993 Beilfuss Crossing,Gabriel,Johann,328-213-6375,gjohann3@whitehouse.gov
105,996 1st Drive,Grenville,Yanez,707-515-9399,gyanez4@t-online.de
106,155 Oriole Avenue,Broderic,Ringham,878-793-5503,bringham5@cnbc.com
107,6 Di Loreto Trail,Nevin,Oakland,406-498-3593,noakland6@csmonitor.com
108,27 Dwight Center,Shaun,Brandts,222-900-6607,sbrandts7@utexas.edu
109,12 Pleasure Alley,Rollins,Sneller,960-136-1446,rsneller8@csmonitor.com
110,3 Hanover Street,Lyell,Horrell,384-829-6396,lhorrell9@sina.com.cn
111,68685 Sage Drive,Hyacinth,Ruzicka,437-171-5336,hruzickaa@blog.com
112,6464 Eastwood Way,Noreen,Methringham,352-953-6965,nmethringhamb@mapy.cz
113,681 Express Road,Mendie,Allchorn,897-392-0593,mallchornc@vk.com
114,72 Sage Drive,Pippo,Altimas,569-866-8708,paltimasd@sciencedaily.com
115,88 Forster Circle,Judie,Di Iorio,627-540-1446,jdiiorioe@npr.org
116,0 Sunbrook Parkway,Lamond,Parncutt,294-802-4991,lparncuttf@squidoo.com
117,95 Everett Lane,Yard,Harkins,399-768-5212,yharkinsg@state.gov
118,5577 Debs Point,Cosimo,Euels,905-951-1034,ceuelsh@squarespace.com
119,21 Kropf Center,Flory,Charley,707-746-3618,fcharleyi@cornell.edu
120,1 Scoville Avenue,Dinnie,Orans,901-702-1518,doransj@youku.com
121,8 Hooker Court,Onfroi,Le Guin,614-881-6040,oleguink@goo.gl
122,063 Schmedeman Drive,Ganny,Bloxsome,992-273-8226,gbloxsomel@thetimes.co.uk
123,42727 Comanche Place,Urson,Keys,288-762-8100,ukeysm@last.fm
124,94 Jackson Point,Sallie,Crawshay,143-814-0803,scrawshayn@omniture.com
125,06 Arrowood Avenue,Ibby,Delgaty,352-653-7886,idelgatyo@mlb.com
126,3 Tennyson Place,Jemimah,Cooper,989-419-3285,jcooperp@edublogs.org
127,279 Kedzie Hill,Barnett,Lennie,654-965-9384,blennieq@wired.com
128,52 Independence Place,Rubina,Flaws,114-924-9932,rflawsr@cargocollective.com
129,11 Stephen Pass,Bellanca,Beekman,603-968-1298,bbeekmans@networksolutions.com
130,0417 Birchwood Trail,Zorah,Molden,167-142-2726,zmoldent@google.com
131,2 Reindahl Crossing,Maje,Pitkaithly,756-591-9260,mpitkaithlyu@twitter.com
132,01 Eggendart Drive,Lindsey,Pudney,736-153-7834,lpudneyv@gov.uk
133,27 Jackson Park,Tim,O' Gara,618-757-9653,togaraw@arizona.edu
134,25357 Declaration Crossing,Lazarus,Bauman,619-341-0134,lbaumanx@sphinn.com
135,4982 Tennessee Point,Joshuah,Tellenbrook,741-549-8491,jtellenbrooky@jalbum.net
136,47272 Heath Point,Iseabal,Danbrook,575-468-7566,idanbrookz@java.com
137,42 Derek Alley,Goldia,Womersley,438-225-8837,gwomersley10@imageshack.us
138,40 East Court,Lurline,Giorgini,861-152-7984,lgiorgini11@imgur.com
139,08030 Pine View Way,Henryetta,Geekin,555-445-5790,hgeekin12@slashdot.org
140,398 Waxwing Center,Phillis,Lawie,559-878-6812,plawie13@merriam-webster.com
141,19 Duke Way,Odilia,Catherick,409-353-3244,ocatherick14@live.com
142,566 Scofield Plaza,Melamie,Tilburn,594-678-1753,mtilburn15@tripadvisor.com
143,98 Mariners Cove Place,Rafi,Kmiec,758-579-9012,rkmiec16@dailymail.co.uk
144,013 Mesta Lane,Loralie,Lourens,425-913-7036,llourens17@wikipedia.org
145,4 Kensington Hill,Pip,Crielly,321-131-8950,pcrielly18@whitehouse.gov
146,271 Autumn Leaf Crossing,Euphemia,Pfeffel,531-720-8505,epfeffel19@answers.com
147,2 Kennedy Hill,Michel,Pockett,767-428-2362,mpockett1a@arizona.edu
148,1 Charing Cross Lane,Sarina,Dallaway,866-728-2479,sdallaway1b@mayoclinic.com
149,2566 Glendale Junction,Waylin,Kinningley,297-744-9601,wkinningley1c@independent.co.uk
150,5405 Boyd Road,Durand,Tregensoe,105-968-9439,dtregensoe1d@house.gov
151,673 Calypso Terrace,Edouard,Apfelmann,583-816-2365,eapfelmann1e@123-reg.co.uk
152,1954 Welch Drive,Wait,McClifferty,615-878-0881,wmcclifferty1f@t.co
153,6 Moulton Terrace,Gwenora,Badman,740-290-3909,gbadman1g@oaic.gov.au
154,53 Green Avenue,Mickie,Charnick,493-230-7120,mcharnick1h@wikipedia.org
155,16 Ryan Court,Stanislas,Grotty,500-993-8459,sgrotty1i@theatlantic.com
156,5 Blackbird Circle,Kathi,Callender,519-472-3673,kcallender1j@businessweek.com
157,02 Forest Run Trail,Gaultiero,Dyerson,390-447-5593,gdyerson1k@list-manage.com
158,231 High Crossing Parkway,Gnni,Dungee,477-143-5555,gdungee1l@zdnet.com
159,1623 Crescent Oaks Court,Liuka,Straker,596-872-6203,lstraker1m@flavors.me
160,2959 Hermina Junction,Montgomery,Greystock,743-215-0575,mgreystock1n@ameblo.jp
161,965 Portage Parkway,Bryn,Mogenot,751-763-1760,bmogenot1o@sciencedaily.com
162,8192 Sunbrook Terrace,Elyssa,Jansik,514-387-4332,ejansik1p@posterous.com
163,471 Center Way,Richmound,Burnes,232-826-9326,rburnes1q@scientificamerican.com
164,2 Ridge Oak Street,Tonie,Janic,571-927-5099,tjanic1r@amazon.com
165,6422 Ryan Point,Knox,Eckersall,809-923-9600,keckersall1s@creativecommons.org
166,8 Thackeray Crossing,Chip,Moffat,689-426-9550,cmoffat1t@nature.com
167,06224 Clarendon Parkway,Laurice,Norquay,487-476-2617,lnorquay1u@mit.edu
168,7 Hanover Crossing,Rivalee,Mc Kellen,190-785-8809,rmckellen1v@blogs.com
169,43072 Clemons Way,Hobie,Leile,423-822-3852,hleile1w@house.gov
170,4 Texas Street,Hamlen,Pollack,621-176-6213,hpollack1x@latimes.com
171,191 Hansons Circle,Loutitia,Tanzer,202-881-7635,ltanzer1y@craigslist.org
172,607 Debra Court,Julius,Grigorushkin,861-344-4290,jgrigorushkin1z@theglobeandmail.com
173,046 Kings Street,Vida,Bourgourd,621-109-5701,vbourgourd20@usa.gov
174,3630 Twin Pines Junction,Jana,Bisacre,395-143-7088,jbisacre21@washingtonpost.com
175,8 Derek Trail,Hugo,Klessmann,426-248-4110,hklessmann22@multiply.com
176,59214 Barnett Crossing,Zahara,Poveleye,400-116-3106,zpoveleye23@altervista.org
177,8 Rowland Trail,Eldridge,McLukie,790-970-8034,emclukie24@va.gov
178,96 Nancy Crossing,Sancho,Clinton,860-774-6888,sclinton25@networkadvertising.org
179,0118 Portage Avenue,Marysa,Digweed,670-194-7265,mdigweed26@nsw.gov.au
180,6 Moulton Crossing,Gerhard,Pattesall,421-438-5367,gpattesall27@gizmodo.com
181,440 Washington Court,Connor,Bemment,399-613-9086,cbemment28@netvibes.com
182,90 Mccormick Point,Westbrooke,Marshland,342-495-7709,wmarshland29@sphinn.com
183,6620 Warner Street,Alvina,Greenlies,672-398-0342,agreenlies2a@opensource.org
184,2 Mayfield Junction,Hurleigh,Goldhawk,359-263-3377,hgoldhawk2b@mit.edu
185,72787 Grayhawk Circle,Penelope,Muselli,950-688-2851,pmuselli2c@pcworld.com
186,203 Twin Pines Alley,Sasha,Pepperell,786-264-2951,spepperell2d@storify.com
187,878 Dunning Hill,Angelique,Gouny,770-982-2681,agouny2e@nytimes.com
188,74110 Reinke Street,Enid,O'Geneay,180-688-9614,eogeneay2f@apple.com
189,0 Pepper Wood Lane,Odey,Molson,879-949-9242,omolson2g@linkedin.com
190,67741 Hazelcrest Junction,Reeta,Powlesland,274-604-5703,rpowlesland2h@google.co.uk
191,085 Heffernan Terrace,Kermit,Deporte,442-212-6220,kdeporte2i@umn.edu
192,86177 Stang Place,Gates,Brimham,257-363-6335,gbrimham2j@sbwire.com
193,5010 Hoard Center,Gerda,Hurford,748-308-6545,ghurford2k@unicef.org
194,33 Oxford Parkway,Rodney,Docket,936-237-2325,rdocket2l@seesaa.net
195,60 Farwell Avenue,Stafani,Sulland,247-884-0006,ssulland2m@macromedia.com
196,92477 Emmet Junction,Vina,Culpan,382-313-7952,vculpan2n@ebay.com
197,5 Jana Point,Carolyne,Cheake,320-596-6593,ccheake2o@loc.gov
198,459 Vahlen Parkway,Gib,Thurlow,140-711-1343,gthurlow2p@gravatar.com
199,9 Katie Street,Margeaux,Lavens,136-986-6537,mlavens2q@google.es
200,72 Marcy Place,Kellyann,Callicott,268-639-4796,kcallicott2r@shareasale.com
